Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,3,symmetric,0.31,0.49864310133951123
75% Corpus,3,symmetric,0.61,0.48988526066864885
75% Corpus,3,symmetric,0.9099999999999999,0.4617522170068086
75% Corpus,3,symmetric,symmetric,0.49857024336851197
75% Corpus,3,asymmetric,0.01,0.5164061355738535
75% Corpus,3,asymmetric,0.31,0.5186970079527373
75% Corpus,3,asymmetric,0.61,0.5050475145046268
75% Corpus,3,asymmetric,0.9099999999999999,0.480506655599412
75% Corpus,3,asymmetric,symmetric,0.5237662243951323
75% Corpus,4,0.01,0.01,0.4971856194704424
75% Corpus,4,0.01,0.31,0.49857942878638817
75% Corpus,4,0.01,0.61,0.48988526066864874
75% Corpus,4,0.01,0.9099999999999999,0.4633756720882688
75% Corpus,4,0.01,symmetric,0.49469541401562367
75% Corpus,4,0.31,0.01,0.5006853100683938
75% Corpus,4,0.31,0.31,0.5001140226663646
75% Corpus,4,0.31,0.61,0.49377148106841756
75% Corpus,4,0.31,0.9099999999999999,0.460125039149094
75% Corpus,4,0.31,symmetric,0.49545798112910494
75% Corpus,4,0.61,0.01,0.5051364215126333
75% Corpus,4,0.61,0.31,0.5036204951542064
75% Corpus,4,0.61,0.61,0.506499136166828
75% Corpus,4,0.61,0.9099999999999999,0.4667490102720109
75% Corpus,4,0.61,symmetric,0.5039354896253497
75% Corpus,4,0.9099999999999999,0.01,0.5045343004380765
75% Corpus,4,0.9099999999999999,0.31,0.5020588137216742
75% Corpus,4,0.9099999999999999,0.61,0.4880384126844393
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.46607424872540937
75% Corpus,4,0.9099999999999999,symmetric,0.5049318861167269
75% Corpus,4,symmetric,0.01,0.49786275458393064
75% Corpus,4,symmetric,0.31,0.49864310133951123
75% Corpus,4,symmetric,0.61,0.48988526066864885
75% Corpus,4,symmetric,0.9099999999999999,0.4617522170068086
75% Corpus,4,symmetric,symmetric,0.49857024336851197
75% Corpus,4,asymmetric,0.01,0.5164061355738535
75% Corpus,4,asymmetric,0.31,0.5186970079527373
75% Corpus,4,asymmetric,0.61,0.5050475145046268
75% Corpus,4,asymmetric,0.9099999999999999,0.480506655599412
75% Corpus,4,asymmetric,symmetric,0.5237662243951323
75% Corpus,5,0.01,0.01,0.4971856194704424
75% Corpus,5,0.01,0.31,0.49857942878638817
75% Corpus,5,0.01,0.61,0.48988526066864874
75% Corpus,5,0.01,0.9099999999999999,0.4633756720882688
75% Corpus,5,0.01,symmetric,0.49469541401562367
75% Corpus,5,0.31,0.01,0.5006853100683938
75% Corpus,5,0.31,0.31,0.5001140226663646
75% Corpus,5,0.31,0.61,0.49377148106841756
75% Corpus,5,0.31,0.9099999999999999,0.460125039149094
75% Corpus,5,0.31,symmetric,0.49545798112910494
75% Corpus,5,0.61,0.01,0.5051364215126333
75% Corpus,5,0.61,0.31,0.5036204951542064
75% Corpus,5,0.61,0.61,0.506499136166828
75% Corpus,5,0.61,0.9099999999999999,0.4667490102720109
75% Corpus,5,0.61,symmetric,0.5039354896253497
75% Corpus,5,0.9099999999999999,0.01,0.5045343004380765
75% Corpus,5,0.9099999999999999,0.31,0.5020588137216742
75% Corpus,5,0.9099999999999999,0.61,0.4880384126844393
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.46607424872540937
75% Corpus,5,0.9099999999999999,symmetric,0.5049318861167269
75% Corpus,5,symmetric,0.01,0.49786275458393064
75% Corpus,5,symmetric,0.31,0.49864310133951123
75% Corpus,5,symmetric,0.61,0.48988526066864885
75% Corpus,5,symmetric,0.9099999999999999,0.4617522170068086
75% Corpus,5,symmetric,symmetric,0.49857024336851197
75% Corpus,5,asymmetric,0.01,0.5164061355738535
75% Corpus,5,asymmetric,0.31,0.5186970079527373
75% Corpus,5,asymmetric,0.61,0.5050475145046268
75% Corpus,5,asymmetric,0.9099999999999999,0.480506655599412
75% Corpus,5,asymmetric,symmetric,0.5237662243951323
75% Corpus,6,0.01,0.01,0.4971856194704424
75% Corpus,6,0.01,0.31,0.49857942878638817
75% Corpus,6,0.01,0.61,0.48988526066864874
75% Corpus,6,0.01,0.9099999999999999,0.4633756720882688
75% Corpus,6,0.01,symmetric,0.49469541401562367
75% Corpus,6,0.31,0.01,0.5006853100683938
75% Corpus,6,0.31,0.31,0.5001140226663646
75% Corpus,6,0.31,0.61,0.49377148106841756
75% Corpus,6,0.31,0.9099999999999999,0.460125039149094
75% Corpus,6,0.31,symmetric,0.49545798112910494
75% Corpus,6,0.61,0.01,0.5051364215126333
75% Corpus,6,0.61,0.31,0.5036204951542064
75% Corpus,6,0.61,0.61,0.506499136166828
75% Corpus,6,0.61,0.9099999999999999,0.4667490102720109
75% Corpus,6,0.61,symmetric,0.5039354896253497
75% Corpus,6,0.9099999999999999,0.01,0.5045343004380765
75% Corpus,6,0.9099999999999999,0.31,0.5020588137216742
75% Corpus,6,0.9099999999999999,0.61,0.4880384126844393
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.46607424872540937
75% Corpus,6,0.9099999999999999,symmetric,0.5049318861167269
75% Corpus,6,symmetric,0.01,0.49786275458393064
75% Corpus,6,symmetric,0.31,0.49864310133951123
75% Corpus,6,symmetric,0.61,0.48988526066864885
75% Corpus,6,symmetric,0.9099999999999999,0.4617522170068086
75% Corpus,6,symmetric,symmetric,0.49857024336851197
75% Corpus,6,asymmetric,0.01,0.5164061355738535
75% Corpus,6,asymmetric,0.31,0.5186970079527373
75% Corpus,6,asymmetric,0.61,0.5050475145046268
75% Corpus,6,asymmetric,0.9099999999999999,0.480506655599412
75% Corpus,6,asymmetric,symmetric,0.5237662243951323
75% Corpus,7,0.01,0.01,0.4971856194704424
75% Corpus,7,0.01,0.31,0.49857942878638817
75% Corpus,7,0.01,0.61,0.48988526066864874
75% Corpus,7,0.01,0.9099999999999999,0.4633756720882688
75% Corpus,7,0.01,symmetric,0.49469541401562367
75% Corpus,7,0.31,0.01,0.5006853100683938
75% Corpus,7,0.31,0.31,0.5001140226663646
75% Corpus,7,0.31,0.61,0.49377148106841756
75% Corpus,7,0.31,0.9099999999999999,0.460125039149094
75% Corpus,7,0.31,symmetric,0.49545798112910494
75% Corpus,7,0.61,0.01,0.5051364215126333
75% Corpus,7,0.61,0.31,0.5036204951542064
75% Corpus,7,0.61,0.61,0.506499136166828
75% Corpus,7,0.61,0.9099999999999999,0.4667490102720109
75% Corpus,7,0.61,symmetric,0.5039354896253497
75% Corpus,7,0.9099999999999999,0.01,0.5045343004380765
75% Corpus,7,0.9099999999999999,0.31,0.5020588137216742
75% Corpus,7,0.9099999999999999,0.61,0.4880384126844393
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.46607424872540937
75% Corpus,7,0.9099999999999999,symmetric,0.5049318861167269
75% Corpus,7,symmetric,0.01,0.49786275458393064
75% Corpus,7,symmetric,0.31,0.49864310133951123
75% Corpus,7,symmetric,0.61,0.48988526066864885
75% Corpus,7,symmetric,0.9099999999999999,0.4617522170068086
75% Corpus,7,symmetric,symmetric,0.49857024336851197
75% Corpus,7,asymmetric,0.01,0.5164061355738535
75% Corpus,7,asymmetric,0.31,0.5186970079527373
75% Corpus,7,asymmetric,0.61,0.5050475145046268
75% Corpus,7,asymmetric,0.9099999999999999,0.480506655599412
75% Corpus,7,asymmetric,symmetric,0.5237662243951323
75% Corpus,8,0.01,0.01,0.4971856194704424
75% Corpus,8,0.01,0.31,0.49857942878638817
75% Corpus,8,0.01,0.61,0.48988526066864874
75% Corpus,8,0.01,0.9099999999999999,0.4633756720882688
75% Corpus,8,0.01,symmetric,0.49469541401562367
75% Corpus,8,0.31,0.01,0.5006853100683938
75% Corpus,8,0.31,0.31,0.5001140226663646
75% Corpus,8,0.31,0.61,0.49377148106841756
75% Corpus,8,0.31,0.9099999999999999,0.460125039149094
75% Corpus,8,0.31,symmetric,0.49545798112910494
75% Corpus,8,0.61,0.01,0.5051364215126333
75% Corpus,8,0.61,0.31,0.5036204951542064
75% Corpus,8,0.61,0.61,0.506499136166828
75% Corpus,8,0.61,0.9099999999999999,0.4667490102720109
75% Corpus,8,0.61,symmetric,0.5039354896253497
75% Corpus,8,0.9099999999999999,0.01,0.5045343004380765
75% Corpus,8,0.9099999999999999,0.31,0.5020588137216742
75% Corpus,8,0.9099999999999999,0.61,0.4880384126844393
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.46607424872540937
75% Corpus,8,0.9099999999999999,symmetric,0.5049318861167269
75% Corpus,8,symmetric,0.01,0.49786275458393064
75% Corpus,8,symmetric,0.31,0.49864310133951123
75% Corpus,8,symmetric,0.61,0.48988526066864885
75% Corpus,8,symmetric,0.9099999999999999,0.4617522170068086
75% Corpus,8,symmetric,symmetric,0.49857024336851197
75% Corpus,8,asymmetric,0.01,0.5164061355738535
75% Corpus,8,asymmetric,0.31,0.5186970079527373
75% Corpus,8,asymmetric,0.61,0.5050475145046268
75% Corpus,8,asymmetric,0.9099999999999999,0.480506655599412
75% Corpus,8,asymmetric,symmetric,0.5237662243951323
75% Corpus,9,0.01,0.01,0.4971856194704424
75% Corpus,9,0.01,0.31,0.49857942878638817
75% Corpus,9,0.01,0.61,0.48988526066864874
75% Corpus,9,0.01,0.9099999999999999,0.4633756720882688
75% Corpus,9,0.01,symmetric,0.49469541401562367
75% Corpus,9,0.31,0.01,0.5006853100683938
75% Corpus,9,0.31,0.31,0.5001140226663646
75% Corpus,9,0.31,0.61,0.49377148106841756
75% Corpus,9,0.31,0.9099999999999999,0.460125039149094
75% Corpus,9,0.31,symmetric,0.49545798112910494
75% Corpus,9,0.61,0.01,0.5051364215126333
75% Corpus,9,0.61,0.31,0.5036204951542064
75% Corpus,9,0.61,0.61,0.506499136166828
75% Corpus,9,0.61,0.9099999999999999,0.4667490102720109
75% Corpus,9,0.61,symmetric,0.5039354896253497
75% Corpus,9,0.9099999999999999,0.01,0.5045343004380765
75% Corpus,9,0.9099999999999999,0.31,0.5020588137216742
75% Corpus,9,0.9099999999999999,0.61,0.4880384126844393
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.46607424872540937
75% Corpus,9,0.9099999999999999,symmetric,0.5049318861167269
75% Corpus,9,symmetric,0.01,0.49786275458393064
75% Corpus,9,symmetric,0.31,0.49864310133951123
75% Corpus,9,symmetric,0.61,0.48988526066864885
75% Corpus,9,symmetric,0.9099999999999999,0.4617522170068086
75% Corpus,9,symmetric,symmetric,0.49857024336851197
75% Corpus,9,asymmetric,0.01,0.5164061355738535
75% Corpus,9,asymmetric,0.31,0.5186970079527373
75% Corpus,9,asymmetric,0.61,0.5050475145046268
75% Corpus,9,asymmetric,0.9099999999999999,0.480506655599412
75% Corpus,9,asymmetric,symmetric,0.5237662243951323
75% Corpus,10,0.01,0.01,0.4971856194704424
75% Corpus,10,0.01,0.31,0.49857942878638817
75% Corpus,10,0.01,0.61,0.48988526066864874
75% Corpus,10,0.01,0.9099999999999999,0.4633756720882688
75% Corpus,10,0.01,symmetric,0.49469541401562367
75% Corpus,10,0.31,0.01,0.5006853100683938
75% Corpus,10,0.31,0.31,0.5001140226663646
75% Corpus,10,0.31,0.61,0.49377148106841756
75% Corpus,10,0.31,0.9099999999999999,0.460125039149094
75% Corpus,10,0.31,symmetric,0.49545798112910494
75% Corpus,10,0.61,0.01,0.5051364215126333
75% Corpus,10,0.61,0.31,0.5036204951542064
75% Corpus,10,0.61,0.61,0.506499136166828
75% Corpus,10,0.61,0.9099999999999999,0.4667490102720109
75% Corpus,10,0.61,symmetric,0.5039354896253497
75% Corpus,10,0.9099999999999999,0.01,0.5045343004380765
75% Corpus,10,0.9099999999999999,0.31,0.5020588137216742
75% Corpus,10,0.9099999999999999,0.61,0.4880384126844393
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.46607424872540937
75% Corpus,10,0.9099999999999999,symmetric,0.5049318861167269
75% Corpus,10,symmetric,0.01,0.49786275458393064
75% Corpus,10,symmetric,0.31,0.49864310133951123
75% Corpus,10,symmetric,0.61,0.48988526066864885
75% Corpus,10,symmetric,0.9099999999999999,0.4617522170068086
75% Corpus,10,symmetric,symmetric,0.49857024336851197
75% Corpus,10,asymmetric,0.01,0.5164061355738535
75% Corpus,10,asymmetric,0.31,0.5186970079527373
75% Corpus,10,asymmetric,0.61,0.5050475145046268
75% Corpus,10,asymmetric,0.9099999999999999,0.480506655599412
75% Corpus,10,asymmetric,symmetric,0.5237662243951323
100% Corpus,2,0.01,0.01,0.46322922890137946
100% Corpus,2,0.01,0.31,0.46940695942793803
100% Corpus,2,0.01,0.61,0.47644164498865055
100% Corpus,2,0.01,0.9099999999999999,0.4877048476755327
100% Corpus,2,0.01,symmetric,0.459776139437848
100% Corpus,2,0.31,0.01,0.47064935287880755
100% Corpus,2,0.31,0.31,0.4676736438965373
100% Corpus,2,0.31,0.61,0.48415235422174013
100% Corpus,2,0.31,0.9099999999999999,0.4844360031187122
100% Corpus,2,0.31,symmetric,0.46749599735652775
100% Corpus,2,0.61,0.01,0.4683529934953885
100% Corpus,2,0.61,0.31,0.4692936554201215
100% Corpus,2,0.61,0.61,0.48291873785332634
100% Corpus,2,0.61,0.9099999999999999,0.5037109762032272
100% Corpus,2,0.61,symmetric,0.4632982602675165
100% Corpus,2,0.9099999999999999,0.01,0.4696253340893991
100% Corpus,2,0.9099999999999999,0.31,0.4512836749820652
100% Corpus,2,0.9099999999999999,0.61,0.48128285711183805
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.5090872713892939
100% Corpus,2,0.9099999999999999,symmetric,0.4648020606481338
100% Corpus,2,symmetric,0.01,0.4653811894615941
100% Corpus,2,symmetric,0.31,0.4714913652690177
100% Corpus,2,symmetric,0.61,0.4802390647822051
100% Corpus,2,symmetric,0.9099999999999999,0.48353047012406536
100% Corpus,2,symmetric,symmetric,0.46248606629056344
100% Corpus,2,asymmetric,0.01,0.5004323137574835
100% Corpus,2,asymmetric,0.31,0.47498977595768876
100% Corpus,2,asymmetric,0.61,0.49183382770341816
100% Corpus,2,asymmetric,0.9099999999999999,0.5025307008630817
100% Corpus,2,asymmetric,symmetric,0.47414701580906427
100% Corpus,3,0.01,0.01,0.46322922890137946
100% Corpus,3,0.01,0.31,0.46940695942793803
100% Corpus,3,0.01,0.61,0.47644164498865055
100% Corpus,3,0.01,0.9099999999999999,0.4877048476755327
100% Corpus,3,0.01,symmetric,0.459776139437848
100% Corpus,3,0.31,0.01,0.47064935287880755
100% Corpus,3,0.31,0.31,0.4676736438965373
100% Corpus,3,0.31,0.61,0.48415235422174013
100% Corpus,3,0.31,0.9099999999999999,0.4844360031187122
100% Corpus,3,0.31,symmetric,0.46749599735652775
100% Corpus,3,0.61,0.01,0.4683529934953885
100% Corpus,3,0.61,0.31,0.4692936554201215
100% Corpus,3,0.61,0.61,0.48291873785332634
100% Corpus,3,0.61,0.9099999999999999,0.5037109762032272
100% Corpus,3,0.61,symmetric,0.4632982602675165
100% Corpus,3,0.9099999999999999,0.01,0.4696253340893991
100% Corpus,3,0.9099999999999999,0.31,0.4512836749820652
100% Corpus,3,0.9099999999999999,0.61,0.48128285711183805
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.5090872713892939
100% Corpus,3,0.9099999999999999,symmetric,0.4648020606481338
100% Corpus,3,symmetric,0.01,0.4653811894615941
100% Corpus,3,symmetric,0.31,0.4714913652690177
100% Corpus,3,symmetric,0.61,0.4802390647822051
100% Corpus,3,symmetric,0.9099999999999999,0.48353047012406536
100% Corpus,3,symmetric,symmetric,0.46248606629056344
100% Corpus,3,asymmetric,0.01,0.5004323137574835
100% Corpus,3,asymmetric,0.31,0.47498977595768876
100% Corpus,3,asymmetric,0.61,0.49183382770341816
100% Corpus,3,asymmetric,0.9099999999999999,0.5025307008630817
100% Corpus,3,asymmetric,symmetric,0.47414701580906427
100% Corpus,4,0.01,0.01,0.46322922890137946
100% Corpus,4,0.01,0.31,0.46940695942793803
100% Corpus,4,0.01,0.61,0.47644164498865055
100% Corpus,4,0.01,0.9099999999999999,0.4877048476755327
100% Corpus,4,0.01,symmetric,0.459776139437848
100% Corpus,4,0.31,0.01,0.47064935287880755
100% Corpus,4,0.31,0.31,0.4676736438965373
100% Corpus,4,0.31,0.61,0.48415235422174013
100% Corpus,4,0.31,0.9099999999999999,0.4844360031187122
100% Corpus,4,0.31,symmetric,0.46749599735652775
100% Corpus,4,0.61,0.01,0.4683529934953885
100% Corpus,4,0.61,0.31,0.4692936554201215
100% Corpus,4,0.61,0.61,0.48291873785332634
100% Corpus,4,0.61,0.9099999999999999,0.5037109762032272
100% Corpus,4,0.61,symmetric,0.4632982602675165
100% Corpus,4,0.9099999999999999,0.01,0.4696253340893991
100% Corpus,4,0.9099999999999999,0.31,0.4512836749820652
100% Corpus,4,0.9099999999999999,0.61,0.48128285711183805
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.5090872713892939
100% Corpus,4,0.9099999999999999,symmetric,0.4648020606481338
100% Corpus,4,symmetric,0.01,0.4653811894615941
100% Corpus,4,symmetric,0.31,0.4714913652690177
100% Corpus,4,symmetric,0.61,0.4802390647822051
100% Corpus,4,symmetric,0.9099999999999999,0.48353047012406536
100% Corpus,4,symmetric,symmetric,0.46248606629056344
100% Corpus,4,asymmetric,0.01,0.5004323137574835
100% Corpus,4,asymmetric,0.31,0.47498977595768876
100% Corpus,4,asymmetric,0.61,0.49183382770341816
100% Corpus,4,asymmetric,0.9099999999999999,0.5025307008630817
100% Corpus,4,asymmetric,symmetric,0.47414701580906427
100% Corpus,5,0.01,0.01,0.46322922890137946
100% Corpus,5,0.01,0.31,0.46940695942793803
100% Corpus,5,0.01,0.61,0.47644164498865055
100% Corpus,5,0.01,0.9099999999999999,0.4877048476755327
100% Corpus,5,0.01,symmetric,0.459776139437848
100% Corpus,5,0.31,0.01,0.47064935287880755
100% Corpus,5,0.31,0.31,0.4676736438965373
100% Corpus,5,0.31,0.61,0.48415235422174013
100% Corpus,5,0.31,0.9099999999999999,0.4844360031187122
100% Corpus,5,0.31,symmetric,0.46749599735652775
100% Corpus,5,0.61,0.01,0.4683529934953885
100% Corpus,5,0.61,0.31,0.4692936554201215
100% Corpus,5,0.61,0.61,0.48291873785332634
100% Corpus,5,0.61,0.9099999999999999,0.5037109762032272
100% Corpus,5,0.61,symmetric,0.4632982602675165
100% Corpus,5,0.9099999999999999,0.01,0.4696253340893991
100% Corpus,5,0.9099999999999999,0.31,0.4512836749820652
100% Corpus,5,0.9099999999999999,0.61,0.48128285711183805
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.5090872713892939
100% Corpus,5,0.9099999999999999,symmetric,0.4648020606481338
100% Corpus,5,symmetric,0.01,0.4653811894615941
100% Corpus,5,symmetric,0.31,0.4714913652690177
100% Corpus,5,symmetric,0.61,0.4802390647822051
100% Corpus,5,symmetric,0.9099999999999999,0.48353047012406536
100% Corpus,5,symmetric,symmetric,0.46248606629056344
100% Corpus,5,asymmetric,0.01,0.5004323137574835
100% Corpus,5,asymmetric,0.31,0.47498977595768876
100% Corpus,5,asymmetric,0.61,0.49183382770341816
100% Corpus,5,asymmetric,0.9099999999999999,0.5025307008630817
100% Corpus,5,asymmetric,symmetric,0.47414701580906427
100% Corpus,6,0.01,0.01,0.46322922890137946
100% Corpus,6,0.01,0.31,0.46940695942793803
100% Corpus,6,0.01,0.61,0.47644164498865055
100% Corpus,6,0.01,0.9099999999999999,0.4877048476755327
100% Corpus,6,0.01,symmetric,0.459776139437848
100% Corpus,6,0.31,0.01,0.47064935287880755
100% Corpus,6,0.31,0.31,0.4676736438965373
100% Corpus,6,0.31,0.61,0.48415235422174013
100% Corpus,6,0.31,0.9099999999999999,0.4844360031187122
100% Corpus,6,0.31,symmetric,0.46749599735652775
100% Corpus,6,0.61,0.01,0.4683529934953885
100% Corpus,6,0.61,0.31,0.4692936554201215
100% Corpus,6,0.61,0.61,0.48291873785332634
100% Corpus,6,0.61,0.9099999999999999,0.5037109762032272
100% Corpus,6,0.61,symmetric,0.4632982602675165
100% Corpus,6,0.9099999999999999,0.01,0.4696253340893991
100% Corpus,6,0.9099999999999999,0.31,0.4512836749820652
100% Corpus,6,0.9099999999999999,0.61,0.48128285711183805
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.5090872713892939
100% Corpus,6,0.9099999999999999,symmetric,0.4648020606481338
100% Corpus,6,symmetric,0.01,0.4653811894615941
100% Corpus,6,symmetric,0.31,0.4714913652690177
100% Corpus,6,symmetric,0.61,0.4802390647822051
100% Corpus,6,symmetric,0.9099999999999999,0.48353047012406536
100% Corpus,6,symmetric,symmetric,0.46248606629056344
100% Corpus,6,asymmetric,0.01,0.5004323137574835
100% Corpus,6,asymmetric,0.31,0.47498977595768876
100% Corpus,6,asymmetric,0.61,0.49183382770341816
100% Corpus,6,asymmetric,0.9099999999999999,0.5025307008630817
100% Corpus,6,asymmetric,symmetric,0.47414701580906427
100% Corpus,7,0.01,0.01,0.46322922890137946
100% Corpus,7,0.01,0.31,0.46940695942793803
100% Corpus,7,0.01,0.61,0.47644164498865055
100% Corpus,7,0.01,0.9099999999999999,0.4877048476755327
100% Corpus,7,0.01,symmetric,0.459776139437848
100% Corpus,7,0.31,0.01,0.47064935287880755
100% Corpus,7,0.31,0.31,0.4676736438965373
100% Corpus,7,0.31,0.61,0.48415235422174013
100% Corpus,7,0.31,0.9099999999999999,0.4844360031187122
100% Corpus,7,0.31,symmetric,0.46749599735652775
100% Corpus,7,0.61,0.01,0.4683529934953885
100% Corpus,7,0.61,0.31,0.4692936554201215
100% Corpus,7,0.61,0.61,0.48291873785332634
100% Corpus,7,0.61,0.9099999999999999,0.5037109762032272
100% Corpus,7,0.61,symmetric,0.4632982602675165
100% Corpus,7,0.9099999999999999,0.01,0.4696253340893991
100% Corpus,7,0.9099999999999999,0.31,0.4512836749820652
100% Corpus,7,0.9099999999999999,0.61,0.48128285711183805
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.5090872713892939
100% Corpus,7,0.9099999999999999,symmetric,0.4648020606481338
100% Corpus,7,symmetric,0.01,0.4653811894615941
100% Corpus,7,symmetric,0.31,0.4714913652690177
100% Corpus,7,symmetric,0.61,0.4802390647822051
100% Corpus,7,symmetric,0.9099999999999999,0.48353047012406536
100% Corpus,7,symmetric,symmetric,0.46248606629056344
100% Corpus,7,asymmetric,0.01,0.5004323137574835
100% Corpus,7,asymmetric,0.31,0.47498977595768876
100% Corpus,7,asymmetric,0.61,0.49183382770341816
100% Corpus,7,asymmetric,0.9099999999999999,0.5025307008630817
100% Corpus,7,asymmetric,symmetric,0.47414701580906427
100% Corpus,8,0.01,0.01,0.46322922890137946
100% Corpus,8,0.01,0.31,0.46940695942793803
100% Corpus,8,0.01,0.61,0.47644164498865055
100% Corpus,8,0.01,0.9099999999999999,0.4877048476755327
100% Corpus,8,0.01,symmetric,0.459776139437848
100% Corpus,8,0.31,0.01,0.47064935287880755
100% Corpus,8,0.31,0.31,0.4676736438965373
100% Corpus,8,0.31,0.61,0.48415235422174013
100% Corpus,8,0.31,0.9099999999999999,0.4844360031187122
100% Corpus,8,0.31,symmetric,0.46749599735652775
100% Corpus,8,0.61,0.01,0.4683529934953885
100% Corpus,8,0.61,0.31,0.4692936554201215
100% Corpus,8,0.61,0.61,0.48291873785332634
100% Corpus,8,0.61,0.9099999999999999,0.5037109762032272
100% Corpus,8,0.61,symmetric,0.4632982602675165
100% Corpus,8,0.9099999999999999,0.01,0.4696253340893991
100% Corpus,8,0.9099999999999999,0.31,0.4512836749820652
100% Corpus,8,0.9099999999999999,0.61,0.48128285711183805
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.5090872713892939
100% Corpus,8,0.9099999999999999,symmetric,0.4648020606481338
100% Corpus,8,symmetric,0.01,0.4653811894615941
100% Corpus,8,symmetric,0.31,0.4714913652690177
100% Corpus,8,symmetric,0.61,0.4802390647822051
100% Corpus,8,symmetric,0.9099999999999999,0.48353047012406536
100% Corpus,8,symmetric,symmetric,0.46248606629056344
100% Corpus,8,asymmetric,0.01,0.5004323137574835
100% Corpus,8,asymmetric,0.31,0.47498977595768876
100% Corpus,8,asymmetric,0.61,0.49183382770341816
100% Corpus,8,asymmetric,0.9099999999999999,0.5025307008630817
100% Corpus,8,asymmetric,symmetric,0.47414701580906427
100% Corpus,9,0.01,0.01,0.46322922890137946
100% Corpus,9,0.01,0.31,0.46940695942793803
100% Corpus,9,0.01,0.61,0.47644164498865055
100% Corpus,9,0.01,0.9099999999999999,0.4877048476755327
100% Corpus,9,0.01,symmetric,0.459776139437848
100% Corpus,9,0.31,0.01,0.47064935287880755
100% Corpus,9,0.31,0.31,0.4676736438965373
100% Corpus,9,0.31,0.61,0.48415235422174013
100% Corpus,9,0.31,0.9099999999999999,0.4844360031187122
100% Corpus,9,0.31,symmetric,0.46749599735652775
